ldrname,milservice,rank,combat,cinc,total,initiated,pctinitiated,targeted,pcttargeted,wins,pctwon,losses,pctlost,cumdurat,avgdurat,totfat,avgtotfat,ownfat,avgownfat,rev,revpct,hihost,hihostavg,highact,highactavg,war,warpct,highseverity,avgseverity
Madison,1,7,0,0.0377570500,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,4,4,19,19,0,0,65,65
Monroe,1,7,1,0.03484173000000000131,1,1,1,0,0,1,1,0,0,77,77,0,0,0,0,1,1,4,4,16,16,0,0,65,65
Adams,0,0,0,0.03590386000000000272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,1,9,1,0.04571478000000000347,5,1,0.20000000000000001,4,0.80000000000000004,0,0,0,0,606,121.2,0,0,0,0,1,0.20000000000000001,4,3.7999999999999998,17,12,0,0,84,69.400000000000006
Van Buren,0,0,0,0.05160490999999999689,5,2,0.40000000000000002,3,0.59999999999999998,0,0,0,0,155,31,0,0,0,0,1,0.20000000000000001,4,4,8,5.7999999999999998,0,0,81,71.400000000000006
W. H. Harrison,1,8,1,0.05086493999999999738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,1,4,1,0.05404536000000000062,7,7,1,0,0,1,0.14000000000000001,0,0,5944,849.14290000000005,6,0.85714290000000004,6,0.85714290000000004,7,1,5,3.8571430000000002,22,17.714289999999998,2,0.28999999999999998,100,75
Polk,1,7,0,0.07783816000000000346,1,0,0,1,1,0,0,0,0,159,159,0,0,0,0,1,1,3,3,0,0,0,0,49,49
Taylor,1,9,1,0.07278386000000000577,1,0,0,1,1,0,0,0,0,38,38,0,0,0,0,0,0,4,4,8,8,0,0,81,81
Fillmore,1,5,0,0.07269902999999999782,4,4,1,0,0,0,0,0,0,210,52.5,0,0,0,0,4,1,3,2.5,8,6,0,0,49,28.5
Pierce,1,8,1,0.07812911999999999635,6,3,0.5,3,0.5,0,0,0,0,319,53.166670000000003,0,0,0,0,1,0.17000000000000001,4,3.8333330000000001,19,10.16667,0,0,81,65
Buchanan,1,1,1,0.09432029000000000107,8,6,0.75,2,0.25,0,0,0,0,396,49.5,0,0,0,0,5,0.63,4,3,18,7.5,0,0,81,55.125
Lincoln,1,4,1,0.165633,3,3,1,0,0,1,0.33000000000000002,0,0,52,17.33333,0,0,0,0,2,0.67000000000000004,4,2.6666669999999999,17,7,0,0,81,47
Johnson,1,8,1,0.11248329999999999,4,4,1,0,0,0,0,0,0,356,89,0,0,0,0,3,0.75,3,3,8,7.5,0,0,49,49
Grant,1,11,1,0.1071908,9,8,0.89000000000000001,1,0.11,0,0,0,0,1867,207.4444,0,0,0,0,6,0.67000000000000004,4,3.5555560000000002,19,13.55556,0,0,82,66.888890000000004
Hayes,1,9,1,0.11704299999999999,2,1,0.5,1,0.5,0,0,0,0,59,29.5,0,0,0,0,1,0.5,3,3,8,5,0,0,49,49
Garfield,1,9,1,0.1264245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur,1,8,1,0.13028609999999999,2,2,1,0,0,0,0,0,0,54,27,0,0,0,0,2,1,2,2,2,2,0,0,30,30
Cleveland,0,0,0,0.15530369999999999,10,1,0.11,9,0.89000000000000001,0,0,1,0.11,618,61.799999999999997,0,0,0,0,0,0,4,3.7083330000000001,18,8.25,0,0,81,67.916669999999996
B. Harrison,1,8,1,0.1649786,4,4,1,0,0,0,0,0,0,160,40,0,0,0,0,2,0.5,3,2.5,8,5,0,0,49,39.5
McKinley,1,5,1,0.18845310000000001,3,3,1,0,0,2,0.67000000000000004,0,0,341,113.66670000000001,12,4,8,2.6666669999999999,1,0.33000000000000002,5,4.3333329999999997,22,17.33333,2,0.67000000000000004,100,83
T. Roosevelt,1,7,1,0.21265519999999999,17,11,0.65000000000000002,6,0.34999999999999998,1,0.05999999999999999778,0,0,1478,86.941180000000003,0,0,0,0,8,0.46999999999999997,4,3.4117649999999999,15,8,0,0,96,62.529409999999999
Taft,0,0,0,0.22252140000000001,6,6,1,0,0,0,0,0,0,937,156.16669999999999,0,0,0,0,6,1,4,3.5,19,11.66667,0,0,65,57
Wilson,0,0,0,0.26047480000000001,30,18,0.59999999999999998,12,0.40000000000000002,3,0.10000000000000001,3,0.10000000000000001,9134,304.4667,16,0.53333330000000001,,,17,0.56999999999999995,5,3.9333330000000002,22,14.66667,3,0.10000000000000001,100,70.599999999999994
Harding,0,0,0,0.2603008,2,1,0.5,1,0.5,0,0,0,0,225,112.5,0,0,0,0,1,0.5,4,3.5,8,7.5,0,0,75,62
Coolidge,0,0,0,0.25163920000000001,3,1,0.33000000000000002,2,0.67000000000000004,0,0,0,0,229,76.333330000000004,1,0.33000000000000002,0,0,2,0.67000000000000004,4,4,19,12.33333,0,0,84,74.666669999999996
Hoover,0,0,0,0.2172473,2,1,0.5,1,0.5,0,0,0,0,15,7.5,1,0.5,0,0,1,0.5,4,3.5,19,13.5,0,0,65,57
FDR,0,0,0,0.24365000000000001,40,34,0.84999999999999998,6,0.14999999999999999,4,0.13,0,0,13190,329.75,32,0.80000000000000004,,,24,0.59999999999999998,5,4.2000000000000002,22,17.425000000000001,10,0.25,100,85.224999999999994
Truman,1,7,1,0.31689869999999998,25,3,0.12,22,0.88,0,0,0,0,8608,344.31999999999999,21,0.83999999999999997,13,0.52000000000000002,3,0.12,5,4.2000000000000002,22,11.720000000000001,8,0.32000000000000001,100,78.920000000000002
Eisenhower,1,11,1,0.25152409999999997,51,22,0.42999999999999999,29,0.56999999999999995,0,0,1,0.0200,11657,228.5686,9,0.17647060000000001,,,14,0.27000000000000002,4,3.5490200000000001,19,9.803922,0,0,96,61.745100000000001
Kennedy,1,4,1,0.2095109,29,13,0.45000000000000001,16,0.55000000000000004,0,0,0,0,4856,167.44829999999999,1,0.03448276000000000119,3,0.10344830000000001,3,0.10000000000000001,4,3.4827590000000002,18,9.2068969999999997,0,0,96,62.517240000000001
LBJ,1,6,1,0.20443829999999999,49,37,0.76000000000000001,12,0.23999999999999999,0,0,3,0.05999999999999999778,41465,846.22450000000003,11,0.22448979999999999,,,14,0.28999999999999998,5,4.0816330000000001,22,15.265309999999999,9,0.17999999999999999,100,74.653059999999996
Nixon,1,6,0,0.17085620000000001,16,7,0.44,9,0.56000000000000005,0,0,0,0,752,47,3,0.1875,0,0,6,0.38,4,3.625,19,8.875,0,0,81,65.1875
Ford,1,5,1,0.14523340000000001,6,3,0.5,3,0.5,0,0,0,0,214,35.666670000000003,2,0.3333333,2,0.3333333,2,0.33000000000000002,4,3.8333330000000001,19,14.33333,0,0,81,72.666669999999996
Carter,1,4,0,0.13796739999999999,20,3,0.14999999999999999,17,0.84999999999999998,0,0,0,0,2456,122.8,2,0.10000000000000001,1,0.05000000000000000278,1,0.05000000000000000278,4,3.6000000000000001,19,8.3000000000000007,0,0,81,63.399999999999999
Reagan,1,4,0,0.13616339999999999,58,26,0.45000000000000001,32,0.55000000000000004,2,0.02999999999999999889,1,0.0200,7625,131.46549999999999,10,0.17241380000000001,,,21,0.35999999999999999,4,3.5,19,9.9482759999999999,0,0,84,61.793100000000003
Bush,1,3,1,0.14566519999999999,18,10,0.56000000000000005,8,0.44,2,0.11,0,0,6248,347.11110000000002,6,0.3333333,3,0.1666667,14,0.78000000000000003,5,3.6111110000000002,22,12.5,1,0.05999999999999999778,100,69.94444
Clinton,0,0,0,0.14284359999999999,47,25,0.53000000000000003,12,0.46999999999999997,3,0.05999999999999999778,0,0,18975,403.72340000000003,15,0.31914890000000001,5,0.10638300000000001,18,0.38,5,3.425532,22,11.57447,2,0.04000000000000000083,100,58.936169999999997
G.W. Bush,1,3,0,0.15019170000000001,34,25,0.73999999999999999,9,0.26000000000000001,2,0.05999999999999999778,0,0,6206,182.52940000000001,10,0.29411759999999998,3,0.08823528999999999400,21,0.62,5,3.7058819999999999,22,14.5,1,0.02999999999999999889,100,63.705880000000001
Obama,0,0,0,0.1395499,25,9,0.35999999999999999,16,0.64000000000000001,1,0.04000000000000000083,0,0,2448,97.920000000000002,,,,,18,0.71999999999999997,4,3.3199999999999998,19,7.4400000000000004,0,0,75,55.759999999999998
